id,total,occupied,percent_occupied,vacant,percent_vacant,2010_or_later,median_rooms,35_percent_or_more_rent,percent_35_or_more
36047061600,605,535,88.4,70,11.6,0,5.1,25,100
36047056200,607,572,94.2,35,5.8,0,6.6,45,100
36047065600,645,639,99.1,6,0.9,0,5.9,25,100
36047045000,145,133,91.7,12,8.3,0,6.4,20,90.2
36047084800,607,552,90.9,55,9.1,0,5.5,60,85.2
36047068200,893,867,97.1,26,2.9,0,5,79,83.2
36047053700,711,705,99.2,6,0.8,0,5.5,72,82.6
36047120200,592,534,90.2,58,9.8,0,4.2,65,81.1
36047040300,1403,1254,89.4,149,10.6,68,4.3,132,80.5
36047053100,1694,1560,92.1,134,7.9,42,5.5,137,78.5
36047023600,1730,1625,93.9,105,6.1,0,4.1,121,77.7
36047063600,533,514,96.4,19,3.6,0,5.9,29,77.3
36047068600,730,673,92.2,57,7.8,0,4.2,67,76.7
36047053500,1181,1094,92.6,87,7.4,0,4.1,127,75.3
36047011800,686,657,95.8,29,4.2,0,4.1,73,75.2
36047014800,536,531,99.1,5,0.9,0,5.8,56,74.9
36047023400,1479,1421,96.1,58,3.9,0,4.2,99,73.8
36047011000,750,680,90.7,70,9.3,0,4.2,78,73.7
36047047000,769,708,92.1,61,7.9,0,5.8,62,73.5
36047016400,283,234,82.7,49,17.3,0,4.9,64,73
36047041600,845,748,88.5,97,11.5,0,4.8,73,73
36047053300,1797,1686,93.8,111,6.2,0,4.3,142,72.7
36047062200,1577,1293,82,284,18,39,3.5,124,72.6
36047039200,1103,1012,91.7,91,8.3,0,3.9,107,72.4
36047035700,979,958,97.9,21,2.1,0,3.7,74,72.3
36047042000,564,506,89.7,58,10.3,0,5.1,45,71.8
36047024000,1379,1265,91.7,114,8.3,0,4.2,116,71.4
36047075200,326,301,92.3,25,7.7,0,7.7,13,71.4
36047022200,1273,1154,90.7,119,9.3,24,4.5,118,70.7
36047070201,2514,2342,93.2,172,6.8,0,5.8,143,70.6
36047024200,855,798,93.3,57,6.7,0,5.3,68,70.4
36047047800,1313,1139,86.7,174,13.3,0,4.6,99,69.5
36047086600,1326,1178,88.8,148,11.2,0,4.4,104,69.4
36047111800,1232,901,73.1,331,26.9,0,3,113,69.3
36047038600,1289,1188,92.2,101,7.8,0,4.7,104,69
36047061200,453,383,84.5,70,15.5,0,4.9,37,68.7
36047023800,1357,1306,96.2,51,3.8,7,4.6,102,68.6
36047048400,1601,1565,97.8,36,2.2,8,3.7,157,68.4
36047022000,1421,1276,89.8,145,10.2,25,4.6,130,68
36047045800,577,521,90.3,56,9.7,0,5.7,63,67.7
36047021600,1108,1058,95.5,50,4.5,0,4.8,106,67.7
36047022800,927,785,84.7,142,15.3,16,4.6,79,67.6
36047050900,722,615,85.2,107,14.8,0,5.6,74,67.4
36047048600,997,956,95.9,41,4.1,0,4.1,83,67.3
36047123700,1434,1282,89.4,152,10.6,9,4.8,106,67.2
36047036502,476,359,75.4,117,24.6,18,4.2,53,67.1
36047021800,1060,1006,94.9,54,5.1,10,5.1,101,66.6
36047047200,851,733,86.1,118,13.9,6,5.6,62,66.5
36047044200,873,853,97.7,20,2.3,0,4.5,69,66.5
36047038900,1229,1131,92,98,8,0,4,121,66.4
36047046202,621,584,94,37,6,0,5.8,65,66.2
36047120000,739,601,81.3,138,18.7,37,3.6,56,66.1
36047023000,1068,991,92.8,77,7.2,0,4.9,112,66.1
36047119600,2062,1658,80.4,404,19.6,0,3.2,138,66
36047022400,1483,1358,91.6,125,8.4,25,4.8,119,65.8
36047089800,754,634,84.1,120,15.9,0,4.5,61,65.7
36047053800,2114,1872,88.6,242,11.4,0,3.2,201,65.7
36047009800,1980,1859,93.9,121,6.1,0,4.1,127,65.4
36047075400,470,446,94.9,24,5.1,0,7.1,44,65.3
36047102000,650,606,93.2,44,6.8,0,5.7,52,65.2
36047079400,726,605,83.3,121,16.7,6,4.3,89,65.1
36047116600,1074,811,75.5,263,24.5,0,3.9,87,65
36047039800,960,866,90.2,94,9.8,0,4.5,81,65
36047049000,2122,1986,93.6,136,6.4,0,3.7,213,65
36047114600,970,930,95.9,40,4.1,0,4.6,90,65
36047089200,1628,1430,87.8,198,12.2,0,3.8,146,64.9
36047087401,1434,1324,92.3,110,7.7,0,3.3,142,64.8
36047035900,2263,2145,94.8,118,5.2,0,3.7,211,64.8
36047067200,467,441,94.4,26,5.6,0,4.6,68,64.6
36047112000,1360,1130,83.1,230,16.9,0,3.6,102,64.2
36047116200,839,733,87.4,106,12.6,0,4.9,72,63.8
36047114201,614,531,86.5,83,13.5,0,5.1,61,63.7
36047060600,1193,1108,92.9,85,7.1,0,3.6,102,63.5
36047115800,1109,946,85.3,163,14.7,0,4.3,83,63.1
36047112200,1189,1073,90.2,116,9.8,0,4.6,113,63.1
36047069800,516,492,95.3,24,4.7,0,5.6,34,63.1
36047046800,520,520,100,0,0,23,5.5,55,62.8
