Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",number,name,zip,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
1,24,1005,2,R4,101,1,40,BROAD STREET,10004,NO,Regular,2016-A
1,27,1055,2,R4,101,1,55,WALL STREET,10005,NO,Subsequent,2016-A
1,28,1047,2,R4,101,1,82,BEAVER STREET,10005,NO,Regular,2016-A
1,31,1184,2,R4,101,1,75,WALL STREET,10005,NO,Regular,2016-A
1,31,1298,2,R4,101,1,75,WALL STREET,10005,NO,Regular,2016-A
1,41,1001,4,RK,101,1,50,PINE STREET,10005,NO,Regular,2016-A
1,41,1010,2,R4,101,1,50,PINE STREET,10005,NO,Regular,2016-A
1,44,1371,2,R4,101,1,18,PINE STREET,10005,NO,Regular,2016-A
1,100,1016,2,R4,101,1,150,NASSAU STREET,10038,NO,Regular,2016-A
1,132,1116,2,R4,101,1,275,GREENWICH STREET,10007,NO,Subsequent,2016-A
1,142,1399,4,RS,101,1,200,CHAMBERS STREET,10007,NO,Regular,1998-2
1,143,16,2,D2,101,1,325,GREENWICH STREET,10013,NO,Subsequent,2016-A
1,187,1305,2,R1,101,1,111,HUDSON STREET,10013,NO,Subsequent,2016-A
1,188,1243,2,R4,101,1,53,NORTH MOORE STREET,10013,NO,Subsequent,2016-A
1,190,1012,2,R4,101,1,39,NORTH MOORE STREET,10013,NO,Regular,2016-A
1,197,1240,4,RW,101,1,139,CENTRE STREET,10013,NO,Regular,2016-A
1,197,1245,4,RW,101,1,139,CENTRE STREET,10013,NO,Regular,2016-A
1,202,1119,2,R4,103,1,50,BAYARD STREET,10013,NO,Regular,2016-A
1,205,20,2,C7,102,1,117,MOTT STREET,10013,NO,Subsequent,2016-A
1,219,16,2,D2,101,1,37,VESTRY STREET,10013,NO,Regular,2016-A
1,225,1102,4,RB,101,1,16,DESBROSSES STREET,10013,NO,Regular,2016-A
1,237,35,2,C7,102,1,189,HESTER STREET,10013,NO,Subsequent,2016-A
1,283,28,4,K2,103,1,153,EAST BROADWAY,10002,NO,Regular,2016-A
1,303,19,4,O2,103,1,126,HESTER STREET,10002,NO,Subsequent,2016-A
1,336,25,4,V1,103,1,31,BIALYSTOKER PLACE,10002,NO,Regular,2016-A
1,354,37,4,K1,103,1,120,RIVINGTON STREET,10002,NO,Regular,2016-A
1,385,36,2,C7,103,2,27,AVENUE C,10009,YES,Subsequent,2016-A
1,387,141,2,C6,103,2,73,AVENUE C,10009,NO,Subsequent,2016-A
1,406,1103,2,R1,103,2,525,EAST 12 STREET,10009,NO,Regular,2016-A
1,408,9,4,K4,103,1,86,ORCHARD STREET,10002,NO,Regular,2016-A
1,415,66,4,H9,103,1,141,ORCHARD STREET,10002,NO,Subsequent,2016-A
1,415,67,4,H9,103,1,139,ORCHARD STREET,10002,NO,Subsequent,2016-A
1,429,19,1,S1,103,2,113,EAST 2 STREET,10009,NO,Regular,2016-A
1,441,1231,2,R4,103,2,425,EAST 13 STREET,10009,NO,Regular,2016-A
1,448,35,2,C1,103,2,341,EAST 6 STREET,10003,NO,Subsequent,2016-A
1,469,1019,2,R4,103,2,105,3 AVENUE,10003,NO,Regular,2016-A
1,491,1384,4,RH,102,3,246,SPRING STREET,10013,NO,Subsequent,2016-A
1,504,21,2,S4,102,3,198,PRINCE STREET,10012,NO,Subsequent,2016-A
1,529,1118,2,R4,102,1,7,BOND STREET,10012,NO,Regular,2016-A
1,591,2,4,K2,102,3,301,BLEECKER STREET,10014,YES,Regular,2016-A
1,595,1507,2,R1,101,1,471,WASHINGTON STREET,10013,NO,Regular,2016-A
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
1,609,63,2,S5,102,3,135,WEST 13 STREET,10011,YES,Subsequent,2016-A
1,618,1032,2,R4,102,3,222,WEST 14 STREET,10011,NO,Subsequent,2016-A
1,618,1074,2,R4,102,3,222,WEST 14 STREET,10011,NO,Subsequent,2016-A
1,638,1001,4,RB,102,3,164,BANK STREET,10014,NO,Regular,2016-A
1,716,1301,4,RK,104,3,459,WEST 18 STREET,10011,NO,Regular,2016-A
1,721,1007,4,RK,104,3,465,WEST 23 STREET,10011,NO,Regular,2016-A
1,723,1056,4,RS,104,3,263,9 AVENUE,10001,NO,Regular,1998-2
1,766,1010,2,R4,104,3,252,WEST 17 STREET,10011,NO,Subsequent,2016-A
1,768,1005,2,R4,104,3,210,WEST 19 STREET,10011,NO,Subsequent,2016-A
1,768,1006,2,R4,104,3,210,WEST 19 STREET,10011,NO,Subsequent,2016-A
1,768,1213,4,RG,104,3,134,7 AVENUE,10011,NO,Regular,2016-A
1,768,1215,4,RG,104,3,134,7 AVENUE,10011,NO,Subsequent,1998-2
1,770,8,4,HH,104,3,245,WEST 20 STREET,10011,NO,Subsequent,2016-A
1,774,83,4,O5,104,3,294,8 AVENUE,10001,NO,Regular,2016-A
1,774,1260,2,R4,104,3,252,7 AVENUE,10001,NO,Regular,2016-A
1,799,63,4,L8,104,3,140,WEST 24 STREET,10011,NO,Regular,1998-2
1,803,43,4,K1,105,3,811,AVENUE OF THE AMER,10001,YES,Regular,2016-A
1,821,33,4,O5,105,3,9,WEST 19 STREET,10011,YES,Regular,2016-A
1,837,1022,4,RB,105,4,70,WEST 36 STREET,10018,NO,Regular,2016-A
1,838,1020,2,R4,105,4,400,5 AVENUE,10018,NO,Regular,2016-A
1,838,1041,2,R4,105,4,400,5 AVENUE,10018,NO,Regular,2016-A
1,838,1048,2,R4,105,4,400,5 AVENUE,10018,NO,Regular,2016-A
1,838,1049,2,R4,105,4,400,5 AVENUE,10018,NO,Regular,2016-A
1,866,1269,2,R4,105,4,11,EAST 36 STREET,10016,NO,Regular,1998-2
1,867,47,2,S5,106,4,32,EAST 38 STREET,10016,NO,Regular,2016-A
1,868,1230,2,R4,106,4,80,PARK AVENUE,10016,NO,Regular,2016-A
1,870,1098,2,R4,105,2,1,IRVING PLACE,10003,NO,Regular,2016-A
1,886,79,4,O5,105,2,112,EAST 31 STREET,10016,NO,Subsequent,2016-A
1,890,1320,2,R4,106,2,155,EAST 34 STREET,10016,NO,Regular,2016-A
